model_variant,dataset_fraction,resolution,dataset_size,epochs,batch_size,device,device_name,timestamp,mAP50,mAP50_95,precision,recall,f1,flops,params,model_size_mb,inference_time_ms,inference_std_ms,fps,gpu_memory_mb,train_loss,val_loss
yolo11s.pt,0.1,416,1436,50,32,cuda,NVIDIA TITAN Xp,2025-10-06 12:14:42,0.5185063965607599,0.3615682392490938,0.637506866874442,0.5687624130980825,0.0,4588006592.0,9458752.0,18.102706909179688,7.814211845397949,0.026994529818022608,127.97195926917868,2596.50390625,0.0,0.0
yolo11n.pt,0.25,416,3590,50,32,cuda,NVIDIA TITAN Xp,2025-10-06 14:05:04,0.5355397148676851,0.38280400029544714,0.6509497484856364,0.5683890577507599,0.0,1397278480.0,2624080.0,5.073769569396973,8.165693283081055,0.311093809807425,122.46357600425117,1463.3798828125,0.0,0.0
yolo11n.pt,0.5,416,7181,50,32,cuda,NVIDIA TITAN Xp,2025-10-06 15:06:47,0.5400524393554291,0.3909629580563953,0.6884978531443832,0.5452887537993921,0.0,1397278480.0,2624080.0,5.0735931396484375,8.10854434967041,0.19917335839587996,123.32669797146109,1502.61669921875,0.0,0.0
yolo11n.pt,1.0,416,14362,50,32,cuda,NVIDIA TITAN Xp,2025-10-06 17:05:42,0.5627029445755583,0.41239688099301464,0.688536836542608,0.5738289814039912,0.0,1397278480.0,2624080.0,5.0735931396484375,7.824797630310059,0.08057622588369072,127.79883228243627,1722.8203125,0.0,0.0
yolo11n.pt,0.1,640,1436,50,32,cuda,NVIDIA TITAN Xp,2025-10-07 14:44:11,0.5821450895942797,0.42890190180635407,0.7046098380457914,0.5951367781155015,0.0,3307168000.0,2624080.0,5.1013031005859375,7.895612716674805,0.13516743884411078,126.65261530471123,3342.8779296875,0.0,0.0
yolo11n.pt,0.25,640,3590,50,32,cuda,NVIDIA TITAN Xp,2025-10-07 18:19:56,0.579823538667158,0.43016025291143195,0.7002057320418755,0.5949089900141097,0.0,3307168000.0,2624080.0,5.101479530334473,8.219437599182129,0.21886430629790643,121.66282521562114,3342.8779296875,0.0,0.0
yolo11n.pt,0.5,640,7181,50,32,cuda,NVIDIA TITAN Xp,2025-10-07 19:22:15,0.5769970410754972,0.42690411357394664,0.7111051275019654,0.5902735562310031,0.0,3307168000.0,2624080.0,5.1013031005859375,8.118119239807129,0.3307913605580877,123.18124068645216,3342.8779296875,0.0,0.0
yolo11n.pt,1.0,640,14362,50,32,cuda,NVIDIA TITAN Xp,2025-10-07 21:21:40,0.5981929888872788,0.4523581589326778,0.7124664931322602,0.6066869300911855,0.0,3307168000.0,2624080.0,5.1013031005859375,8.543295860290527,0.2761006875233889,117.05084505477883,3928.75830078125,0.0,0.0
yolo11n.pt,0.1,416,1436,50,32,cuda,NVIDIA TITAN Xp,2025-10-08 09:28:39,0.5480178170796712,0.395384196610598,0.6993131641379894,0.5507598784194528,0.0,1397278480.0,2624080.0,5.0735931396484375,7.86418914794922,0.23456836834823666,127.15869127598165,1502.61669921875,0.0,0.0
yolo11s.pt,0.1,640,1436,50,32,cuda,NVIDIA TITAN Xp,2025-10-08 13:07:01,0.5917580662015746,0.4449542899521598,0.7008187268029241,0.5860182370820669,0.0,10859187200.0,9458752.0,18.130416870117188,9.843945503234863,0.02903191426576459,101.58528403792823,5811.1630859375,0.0,0.0
yolo11s.pt,0.25,640,3590,50,32,cuda,NVIDIA TITAN Xp,2025-10-08 14:45:01,0.596539541949447,0.4502096966570437,0.7156937358978297,0.5884498480243161,0.0,10859187200.0,9458752.0,18.130593299865723,9.813065528869629,0.0312598850223394,101.90495488469344,5811.1630859375,0.0,0.0
yolo11s.pt,1.0,416,7181,50,32,cuda,NVIDIA A2,2025-10-12 23:03:58,0.539550755439814,0.3916505337849169,0.6627076220692338,0.569867740080506,0.0,4588006592.0,9458752.0,18.103195190429688,10.00753402709961,0.8774371553269058,99.92471644783612,3153.10986328125,0.0,0.0
yolo11s.pt,1.0,640,7181,50,32,cuda,NVIDIA A2,2025-10-13 00:50:13,0.574486414159922,0.42379903059877944,0.6907982479518258,0.5750431282346176,0.0,10859187200.0,9458752.0,18.130905151367188,12.431802749633789,0.13174894672701778,80.43885670800701,7170.314453125,0.0,0.0
yolo11s.pt,0.1,1280,718,50,16,cuda,NVIDIA A2,2025-10-13 01:47:47,0.5183494589685953,0.37224588105604306,0.6392743164035809,0.5738930419781484,0.0,43436748800.0,9458752.0,18.275307655334473,45.73314189910889,3.76230068529965,21.865980741189464,11316.03662109375,0.0,0.0
yolo11s.pt,0.25,416,1795,50,32,cuda,NVIDIA A2,2025-10-13 02:03:04,0.5006738718813832,0.34909453928023815,0.6386010966390764,0.5365091998154508,0.0,4588006592.0,9458752.0,18.103371620178223,9.020934104919434,0.7594637784833035,110.85326512413661,2594.06884765625,0.0,0.0
yolo11s.pt,0.25,1280,1795,50,16,cuda,NVIDIA A2,2025-10-13 03:52:02,0.5613119053824418,0.4127315694192125,0.6393271674461035,0.6175963197239793,0.0,43436748800.0,9458752.0,18.275484085083008,47.7189826965332,1.2831356394796771,20.956020926922445,11375.5810546875,0.0,0.0
yolo11s.pt,0.5,416,3590,50,32,cuda,NVIDIA A2,2025-10-13 04:38:21,0.5152262313421595,0.3685787287372685,0.6613676772915021,0.5388154111558366,0.0,4588006592.0,9458752.0,18.103195190429688,9.050602912902832,0.9076678054112736,110.48987671024298,2644.052734375,0.0,0.0
yolo11s.pt,0.5,640,3590,50,32,cuda,NVIDIA A2,2025-10-13 05:32:08,0.5640106585370711,0.413828826302423,0.69010873704129,0.5600920069005175,0.0,10859187200.0,9458752.0,18.130905151367188,12.394890785217285,0.6556406235465961,80.67840349127124,5762.62451171875,0.0,0.0
yolo11l.pt,0.1,416,718,50,32,cuda,NVIDIA A2,2025-11-02 10:45:22,0.4632570242643421,0.3070631220925621,0.6167106101967441,0.4974123059229442,0.0,18508350016.0,25372160.0,48.47318649291992,18.35221290588379,0.2917730668157659,54.48934170109787,6543.4052734375,0.0,0.0
yolo11l.pt,0.1,640,718,50,32,cuda,NVIDIA A2,2025-11-02 11:16:16,0.48566998165908065,0.34175390236138414,0.6216729039786001,0.542840713053479,0.0,43806745600.0,25372160.0,48.50089645385742,33.189897537231445,0.37879266533553835,30.12965011049611,14335.6572265625,0.0,0.0
yolo11x.pt,0.1,416,718,50,32,cuda,NVIDIA A2,2025-11-02 11:41:47,0.47398934419424554,0.32120047148707326,0.6283400190135683,0.5048878665899943,0.0,41396282304.0,56966176.0,108.64616012573242,30.296154022216797,0.3295567664794043,33.0074899694093,10049.69287109375,0.0,0.0
yolo11l.pt,0.25,416,1795,50,32,cuda,NVIDIA A2,2025-11-02 12:16:59,0.49659021909482237,0.34788141002909667,0.649685969125155,0.5313398504887866,0.0,18508350016.0,25372160.0,48.47352695465088,18.223114013671875,0.09785646584143674,54.87536319257789,6545.15478515625,0.0,0.0
