seed,model_variant,dataset_fraction,resolution,dataset_size,epochs,physical_batch_size,mathematical_batch_size,compile_mode,device,device_name,timestamp,mAP50,mAP50_95,precision,recall,f1,flops,params,inference_time_ms,inference_std_ms,fps,gpu_memory_mb,train_loss,val_loss
4221376603,yolo11n.pt,0.1,416,718,50,64,64,reduce-overhead,cuda,NVIDIA A2,2026-04-13 21:22:32,0.3888925895158278,0.2642542984055233,0.5840198753025905,0.4679870888062854,0.0,1397278480.0,2624080.0,9.987998008728027,7.485405696053127,100.12016413360801,1903.43115234375,0.0,0.0
4221376603,yolo11n.pt,0.25,416,1795,50,64,64,reduce-overhead,cuda,NVIDIA A2,2026-04-13 21:44:19,0.41131566852625084,0.28842442528206585,0.6070132635623467,0.4853700516351119,0.0,1397278480.0,2624080.0,7.915997505187988,1.0346354479581767,126.32646730176707,1903.43115234375,0.0,0.0
4221376603,yolo11n.pt,0.5,416,3590,50,64,64,reduce-overhead,cuda,NVIDIA A2,2026-04-13 22:34:58,0.42405346807071587,0.3035623908027884,0.6116889817098812,0.4899598393574297,0.0,1397278480.0,2624080.0,8.015551567077637,1.5356319002799983,124.75747821364045,1903.43115234375,0.0,0.0
4221376603,yolo11n.pt,1.0,416,7180,50,64,64,reduce-overhead,cuda,NVIDIA A2,2026-04-14 00:21:29,0.42239415408797526,0.3034314030043944,0.5984972170873982,0.49971313826735514,0.0,1397278480.0,2624080.0,11.47702693939209,3.13288863425423,87.1305787884617,1903.4306640625,0.0,0.0
3810243382,yolo11n.pt,0.1,416,718,50,64,64,reduce-overhead,cuda,NVIDIA A2,2026-04-14 00:37:16,0.371699931695908,0.25340605380596065,0.5587109160401647,0.46873207114170967,0.0,1397278480.0,2624080.0,10.908660888671875,2.898608341365124,91.67028017512695,1971.57275390625,0.0,0.0
3810243382,yolo11n.pt,0.25,416,1795,50,64,64,reduce-overhead,cuda,NVIDIA A2,2026-04-14 01:06:01,0.399435717616077,0.27864961049373366,0.5880551004617803,0.4802065404475043,0.0,1397278480.0,2624080.0,7.944140434265137,2.307516993181325,125.87894288559411,1903.43115234375,0.0,0.0
3810243382,yolo11n.pt,0.5,416,3590,50,64,64,reduce-overhead,cuda,NVIDIA A2,2026-04-14 01:56:05,0.42475173714309283,0.30273401807016587,0.5886702323926506,0.4916810097532989,0.0,1397278480.0,2624080.0,9.183740615844727,2.1416290206429154,108.88809275326199,1903.43115234375,0.0,0.0
3810243382,yolo11n.pt,1.0,416,7180,50,64,64,reduce-overhead,cuda,NVIDIA A2,2026-04-14 03:39:25,0.43121101021069785,0.31009261101346997,0.6187799538748285,0.5088927137119909,0.0,1397278480.0,2624080.0,7.966670989990234,1.5763212571122491,125.52294443393674,1903.4306640625,0.0,0.0
4221376603,yolo11n.pt,0.1,640,718,50,64,64,reduce-overhead,cuda,NVIDIA A2,2026-04-14 03:56:53,0.41222943622179287,0.28901627955987913,0.5917246753498995,0.5146299483648882,0.0,3307168000.0,2624080.0,8.322725296020508,2.0341045482847515,120.1529504377788,4299.9375,0.0,0.0
4221376603,yolo11n.pt,0.25,640,1795,50,64,64,reduce-overhead,cuda,NVIDIA A2,2026-04-14 04:21:22,0.42985716846066047,0.3076120926955171,0.6098996817868757,0.5283236422992547,0.0,3307168000.0,2624080.0,10.073094367980957,2.396964474723926,99.27436033744208,4299.9375,0.0,0.0
4221376603,yolo11n.pt,0.5,640,3590,50,64,64,reduce-overhead,cuda,NVIDIA A2,2026-04-14 05:14:13,0.43668787806463455,0.3161026792575926,0.6207311923783921,0.5215146299483648,0.0,3307168000.0,2624080.0,8.464717864990234,2.2604098833552837,118.13742831712841,4299.9375,0.0,0.0
4221376603,yolo11n.pt,1.0,640,7180,50,64,64,reduce-overhead,cuda,NVIDIA A2,2026-04-14 07:09:31,0.45565017540621877,0.33717580929931196,0.6032898778005193,0.5289730349971313,0.0,3307168000.0,2624080.0,8.471107482910156,2.165914807861769,118.04831918582397,4299.93701171875,0.0,0.0
3810243382,yolo11n.pt,0.1,640,718,50,64,64,reduce-overhead,cuda,NVIDIA A2,2026-04-14 07:25:42,0.4085704845290511,0.28682603785468264,0.5860831386762806,0.4945496270797476,0.0,3307168000.0,2624080.0,9.286856651306152,2.013159648825104,107.67906058497788,4456.2177734375,0.0,0.0
3810243382,yolo11n.pt,0.25,640,1795,50,64,64,reduce-overhead,cuda,NVIDIA A2,2026-04-14 07:54:51,0.43045299706810625,0.3099258669508115,0.6143092431749373,0.5163511187607573,0.0,3307168000.0,2624080.0,9.199366569519043,2.1883655218802316,108.70313650870003,4299.9375,0.0,0.0
3810243382,yolo11n.pt,0.5,640,3590,50,64,64,reduce-overhead,cuda,NVIDIA A2,2026-04-14 08:48:43,0.4457707286159538,0.3303827886078053,0.6070135034134426,0.5347102696500287,0.0,3307168000.0,2624080.0,11.804208755493164,3.1309693813000927,84.71554686243951,4299.9375,0.0,0.0
3810243382,yolo11n.pt,1.0,640,7180,50,64,64,reduce-overhead,cuda,NVIDIA A2,2026-04-14 10:44:57,0.4474860237771298,0.33085752805712065,0.6094945344969046,0.5387263339070568,0.0,3307168000.0,2624080.0,8.018641471862793,1.792727331265194,124.7094041439531,4299.93701171875,0.0,0.0
693763239,yolo11n.pt,0.1,416,718,50,64,64,False,cuda,Tesla T4,2026-04-14 12:59:25,0.3858952117393427,0.2638320617185893,0.5689728431034419,0.47561675272518644,0.0,1397278480.0,2624080.0,9.41751480102539,6.672674192057402,106.18512645088902,2756.39404296875,0.0,0.0
